 rotulo;Foz Rio Urubu
21/SEPTEMBER/2016;None
22/SEPTEMBER/2016;None
23/SEPTEMBER/2016;None
24/SEPTEMBER/2016;None
25/SEPTEMBER/2016;None
26/SEPTEMBER/2016;None
27/SEPTEMBER/2016;None
28/SEPTEMBER/2016;None
29/SEPTEMBER/2016;None
30/SEPTEMBER/2016;None
31/SEPTEMBER/2016;None
1/OCTOBER/2016;None
2/OCTOBER/2016;None
3/OCTOBER/2016;None
4/OCTOBER/2016;None
5/OCTOBER/2016;None
6/OCTOBER/2016;None
7/OCTOBER/2016;None
8/OCTOBER/2016;None
9/OCTOBER/2016;None
10/OCTOBER/2016;None
11/OCTOBER/2016;None
12/OCTOBER/2016;None
13/OCTOBER/2016;None
14/OCTOBER/2016;None
15/OCTOBER/2016;None
16/OCTOBER/2016;None
17/OCTOBER/2016;None
18/OCTOBER/2016;None
19/OCTOBER/2016;None
20/OCTOBER/2016;None
21/OCTOBER/2016;None
22/OCTOBER/2016;None
23/OCTOBER/2016;None
24/OCTOBER/2016;None
25/OCTOBER/2016;None
26/OCTOBER/2016;None
27/OCTOBER/2016;None
28/OCTOBER/2016;None
29/OCTOBER/2016;None
30/OCTOBER/2016;None
31/OCTOBER/2016;None
1/NOVEMBER/2016;None
2/NOVEMBER/2016;None
3/NOVEMBER/2016;None
4/NOVEMBER/2016;None
5/NOVEMBER/2016;None
6/NOVEMBER/2016;None
7/NOVEMBER/2016;None
8/NOVEMBER/2016;None
9/NOVEMBER/2016;None
10/NOVEMBER/2016;None
11/NOVEMBER/2016;None
12/NOVEMBER/2016;None
13/NOVEMBER/2016;None
14/NOVEMBER/2016;None
15/NOVEMBER/2016;None
16/NOVEMBER/2016;None
17/NOVEMBER/2016;None
18/NOVEMBER/2016;None
19/NOVEMBER/2016;None
20/NOVEMBER/2016;None
21/NOVEMBER/2016;None
22/NOVEMBER/2016;None
23/NOVEMBER/2016;None
24/NOVEMBER/2016;None
25/NOVEMBER/2016;None
26/NOVEMBER/2016;None
27/NOVEMBER/2016;None
28/NOVEMBER/2016;None
29/NOVEMBER/2016;None
30/NOVEMBER/2016;None
31/NOVEMBER/2016;None
1/DECEMBER/2016;None
2/DECEMBER/2016;None
3/DECEMBER/2016;None
4/DECEMBER/2016;None
5/DECEMBER/2016;None
6/DECEMBER/2016;None
7/DECEMBER/2016;None
8/DECEMBER/2016;None
9/DECEMBER/2016;None
10/DECEMBER/2016;None
11/DECEMBER/2016;None
12/DECEMBER/2016;None
13/DECEMBER/2016;None
14/DECEMBER/2016;None
15/DECEMBER/2016;None
16/DECEMBER/2016;None
17/DECEMBER/2016;None
18/DECEMBER/2016;None
19/DECEMBER/2016;None
20/DECEMBER/2016;None
21/DECEMBER/2016;None
22/DECEMBER/2016;None
23/DECEMBER/2016;None
24/DECEMBER/2016;None
25/DECEMBER/2016;None
26/DECEMBER/2016;None
27/DECEMBER/2016;None
28/DECEMBER/2016;None
29/DECEMBER/2016;None
30/DECEMBER/2016;None
31/DECEMBER/2016;None
1/JANUARY/2017;None
2/JANUARY/2017;None
3/JANUARY/2017;None
4/JANUARY/2017;None
5/JANUARY/2017;None
6/JANUARY/2017;None
7/JANUARY/2017;None
8/JANUARY/2017;None
9/JANUARY/2017;None
10/JANUARY/2017;None
11/JANUARY/2017;None
12/JANUARY/2017;None
13/JANUARY/2017;None
14/JANUARY/2017;None
15/JANUARY/2017;None
16/JANUARY/2017;232.62294
17/JANUARY/2017;232.1979
18/JANUARY/2017;235.0729
19/JANUARY/2017;235.71873
20/JANUARY/2017;235.02081
21/JANUARY/2017;234.19565
22/JANUARY/2017;237.10869
23/JANUARY/2017;237
24/JANUARY/2017;238.63542
25/JANUARY/2017;238.6087
26/JANUARY/2017;236.8
27/JANUARY/2017;237.41176
28/JANUARY/2017;238.31522
29/JANUARY/2017;239.30437
30/JANUARY/2017;240.47917
31/JANUARY/2017;244.15625
1/FEBRUARY/2017;249.26042
2/FEBRUARY/2017;257.96875
3/FEBRUARY/2017;258.45834
4/FEBRUARY/2017;257.34784
5/FEBRUARY/2017;260.42392
6/FEBRUARY/2017;261.29166
7/FEBRUARY/2017;262.5341
8/FEBRUARY/2017;259.16666
9/FEBRUARY/2017;259.3646
10/FEBRUARY/2017;261.08694
11/FEBRUARY/2017;265.29166
12/FEBRUARY/2017;271.08047
13/FEBRUARY/2017;281.7294
14/FEBRUARY/2017;298.46875
15/FEBRUARY/2017;339.52173
16/FEBRUARY/2017;384.47726
17/FEBRUARY/2017;421.56522
18/FEBRUARY/2017;450.45834
19/FEBRUARY/2017;469.68964
20/FEBRUARY/2017;483.4086
21/FEBRUARY/2017;492.04346
22/FEBRUARY/2017;499.75
23/FEBRUARY/2017;505.08698
24/FEBRUARY/2017;513.8587
25/FEBRUARY/2017;523.5
26/FEBRUARY/2017;537.6024
27/FEBRUARY/2017;551.19354
28/FEBRUARY/2017;560.1957
29/FEBRUARY/2017;None
30/FEBRUARY/2017;None
31/FEBRUARY/2017;None
1/MARCH/2017;567.5185
2/MARCH/2017;None
3/MARCH/2017;None
4/MARCH/2017;None
5/MARCH/2017;None
6/MARCH/2017;None
7/MARCH/2017;None
8/MARCH/2017;None
9/MARCH/2017;None
10/MARCH/2017;None
11/MARCH/2017;None
12/MARCH/2017;566
13/MARCH/2017;None
14/MARCH/2017;None
15/MARCH/2017;None
16/MARCH/2017;None
17/MARCH/2017;None
18/MARCH/2017;None
19/MARCH/2017;None
20/MARCH/2017;None
21/MARCH/2017;None
22/MARCH/2017;None
23/MARCH/2017;None
24/MARCH/2017;None
25/MARCH/2017;None
26/MARCH/2017;None
27/MARCH/2017;None
28/MARCH/2017;None
29/MARCH/2017;None
30/MARCH/2017;None
31/MARCH/2017;None
1/APRIL/2017;None
2/APRIL/2017;None
3/APRIL/2017;None
4/APRIL/2017;None
5/APRIL/2017;None
6/APRIL/2017;None
7/APRIL/2017;None
8/APRIL/2017;None
9/APRIL/2017;None
10/APRIL/2017;None
11/APRIL/2017;None
12/APRIL/2017;None
13/APRIL/2017;None
14/APRIL/2017;None
15/APRIL/2017;None
16/APRIL/2017;None
17/APRIL/2017;None
18/APRIL/2017;None
19/APRIL/2017;None
20/APRIL/2017;None
21/APRIL/2017;None
22/APRIL/2017;None
23/APRIL/2017;None
24/APRIL/2017;None
25/APRIL/2017;None
26/APRIL/2017;None
27/APRIL/2017;None
28/APRIL/2017;None
29/APRIL/2017;None
30/APRIL/2017;None
31/APRIL/2017;None
1/MAY/2017;None
2/MAY/2017;None
3/MAY/2017;None
4/MAY/2017;None
5/MAY/2017;None
6/MAY/2017;None
7/MAY/2017;None
8/MAY/2017;None
9/MAY/2017;None
10/MAY/2017;None
11/MAY/2017;None
12/MAY/2017;None
13/MAY/2017;None
14/MAY/2017;None
15/MAY/2017;None
16/MAY/2017;None
17/MAY/2017;None
18/MAY/2017;None
19/MAY/2017;None
20/MAY/2017;None
21/MAY/2017;None
22/MAY/2017;None
23/MAY/2017;None
24/MAY/2017;None
25/MAY/2017;None
26/MAY/2017;None
27/MAY/2017;None
28/MAY/2017;None
29/MAY/2017;None
30/MAY/2017;None
31/MAY/2017;None
1/JUNE/2017;303.35416
2/JUNE/2017;338.3125
3/JUNE/2017;386.77084
4/JUNE/2017;400.0625
5/JUNE/2017;420.3958
6/JUNE/2017;425.25
7/JUNE/2017;426.1042
8/JUNE/2017;427.0417
9/JUNE/2017;427.43182
10/JUNE/2017;429.78128
11/JUNE/2017;427.46875
12/JUNE/2017;423.03122
13/JUNE/2017;417.0104
14/JUNE/2017;407.51044
15/JUNE/2017;396.20834
16/JUNE/2017;385.8646
17/JUNE/2017;376.2396
18/JUNE/2017;366.60416
19/JUNE/2017;359.22916
20/JUNE/2017;365.4375
21/JUNE/2017;383.65625
22/JUNE/2017;398.08334
23/JUNE/2017;409.3646
24/JUNE/2017;416.91666
25/JUNE/2017;417.28125
26/JUNE/2017;417.71875
27/JUNE/2017;420.53122
28/JUNE/2017;420.2083
29/JUNE/2017;414.16666
30/JUNE/2017;406.38544
31/JUNE/2017;None
1/JULY/2017;397.8125
2/JULY/2017;385.71875
3/JULY/2017;373.1146
4/JULY/2017;364.29166
5/JULY/2017;355
6/JULY/2017;345.04166
7/JULY/2017;337.08334
8/JULY/2017;326.84375
9/JULY/2017;309.97916
10/JULY/2017;295.14584
11/JULY/2017;289.89584
12/JULY/2017;287.9659
13/JULY/2017;294.83334
14/JULY/2017;289.94565
15/JULY/2017;284.0104
16/JULY/2017;275.3646
17/JULY/2017;266.8646
18/JULY/2017;263.34375
19/JULY/2017;261.4271
20/JULY/2017;260.04166
21/JULY/2017;None
22/JULY/2017;None
23/JULY/2017;None
24/JULY/2017;None
25/JULY/2017;None
26/JULY/2017;None
27/JULY/2017;None
28/JULY/2017;None
29/JULY/2017;None
30/JULY/2017;None
31/JULY/2017;None
1/AUGUST/2017;None
2/AUGUST/2017;None
3/AUGUST/2017;None
4/AUGUST/2017;None
5/AUGUST/2017;None
6/AUGUST/2017;None
7/AUGUST/2017;None
8/AUGUST/2017;None
9/AUGUST/2017;218.6129
10/AUGUST/2017;216.0521
11/AUGUST/2017;212.48958
12/AUGUST/2017;204.7033
13/AUGUST/2017;193.125
14/AUGUST/2017;182.90625
15/AUGUST/2017;190.60417
16/AUGUST/2017;199.57292
17/AUGUST/2017;206.5625
18/AUGUST/2017;205.53125
19/AUGUST/2017;203.47917
20/AUGUST/2017;201.02083
21/AUGUST/2017;198.09375
22/AUGUST/2017;202.1579
23/AUGUST/2017;205.58427
24/AUGUST/2017;202.26042
25/AUGUST/2017;202.41667
26/AUGUST/2017;205.38597
27/AUGUST/2017;None
28/AUGUST/2017;None
29/AUGUST/2017;None
30/AUGUST/2017;None
31/AUGUST/2017;None
1/SEPTEMBER/2017;None
2/SEPTEMBER/2017;None
3/SEPTEMBER/2017;None
4/SEPTEMBER/2017;None
5/SEPTEMBER/2017;None
6/SEPTEMBER/2017;None
7/SEPTEMBER/2017;None
8/SEPTEMBER/2017;None
9/SEPTEMBER/2017;None
10/SEPTEMBER/2017;None
11/SEPTEMBER/2017;None
12/SEPTEMBER/2017;None
13/SEPTEMBER/2017;None
14/SEPTEMBER/2017;None
15/SEPTEMBER/2017;None
16/SEPTEMBER/2017;None
17/SEPTEMBER/2017;None
18/SEPTEMBER/2017;None
19/SEPTEMBER/2017;None
20/SEPTEMBER/2017;None
21/SEPTEMBER/2017;None
22/SEPTEMBER/2017;None
23/SEPTEMBER/2017;None
24/SEPTEMBER/2017;None
25/SEPTEMBER/2017;None
26/SEPTEMBER/2017;None
27/SEPTEMBER/2017;None
28/SEPTEMBER/2017;None
29/SEPTEMBER/2017;None
30/SEPTEMBER/2017;None
31/SEPTEMBER/2017;None
1/OCTOBER/2017;None
2/OCTOBER/2017;None
3/OCTOBER/2017;None
4/OCTOBER/2017;None
5/OCTOBER/2017;None
6/OCTOBER/2017;None
7/OCTOBER/2017;None
8/OCTOBER/2017;None
9/OCTOBER/2017;None
10/OCTOBER/2017;None
11/OCTOBER/2017;None
12/OCTOBER/2017;None
13/OCTOBER/2017;None
14/OCTOBER/2017;None
15/OCTOBER/2017;None
16/OCTOBER/2017;202.31708
17/OCTOBER/2017;202
18/OCTOBER/2017;200.85417
19/OCTOBER/2017;199.66667
20/OCTOBER/2017;198
21/OCTOBER/2017;197.375
22/OCTOBER/2017;196.1875
23/OCTOBER/2017;195.27083
24/OCTOBER/2017;198.64583
25/OCTOBER/2017;200.51042
26/OCTOBER/2017;199.17708
27/OCTOBER/2017;198.19792
28/OCTOBER/2017;197.71875
29/OCTOBER/2017;196.85417
30/OCTOBER/2017;194.93478
31/OCTOBER/2017;202.11458
1/NOVEMBER/2017;205.30208
2/NOVEMBER/2017;205.22917
3/NOVEMBER/2017;205.01042
4/NOVEMBER/2017;204.83333
5/NOVEMBER/2017;205.13542
6/NOVEMBER/2017;210.03123
7/NOVEMBER/2017;209.92706
8/NOVEMBER/2017;209.86456
9/NOVEMBER/2017;210.3854
10/NOVEMBER/2017;211.48419
11/NOVEMBER/2017;212.40625
12/NOVEMBER/2017;213.25002
13/NOVEMBER/2017;213.03127
14/NOVEMBER/2017;213.38544
15/NOVEMBER/2017;214.1146
16/NOVEMBER/2017;214.40627
17/NOVEMBER/2017;214.01044
18/NOVEMBER/2017;214.43752
19/NOVEMBER/2017;220.66667
20/NOVEMBER/2017;222.26042
21/NOVEMBER/2017;226.23958
22/NOVEMBER/2017;230.67708
23/NOVEMBER/2017;234.87498
24/NOVEMBER/2017;238.84377
25/NOVEMBER/2017;242.14584
26/NOVEMBER/2017;244.59375
27/NOVEMBER/2017;246.71875
28/NOVEMBER/2017;247.90625
29/NOVEMBER/2017;249.30208
30/NOVEMBER/2017;250.66667
31/NOVEMBER/2017;None
1/DECEMBER/2017;255.55208
2/DECEMBER/2017;259.1354
3/DECEMBER/2017;257.6771
4/DECEMBER/2017;257.59375
5/DECEMBER/2017;258.375
6/DECEMBER/2017;259.625
7/DECEMBER/2017;262.125
8/DECEMBER/2017;263.96875
9/DECEMBER/2017;265.4896
10/DECEMBER/2017;267.22916
11/DECEMBER/2017;270.0521
12/DECEMBER/2017;270.6771
13/DECEMBER/2017;272.29166
14/DECEMBER/2017;282.6875
15/DECEMBER/2017;292.52084
16/DECEMBER/2017;307.1146
17/DECEMBER/2017;324.28125
18/DECEMBER/2017;338.4896
19/DECEMBER/2017;350.04166
20/DECEMBER/2017;361.78125
21/DECEMBER/2017;372.03125
22/DECEMBER/2017;381.1354
23/DECEMBER/2017;387.77084
24/DECEMBER/2017;392.47916
25/DECEMBER/2017;396.2604
26/DECEMBER/2017;396.9479
27/DECEMBER/2017;396.70834
28/DECEMBER/2017;394.6771
29/DECEMBER/2017;391.4896
30/DECEMBER/2017;387.1146
31/DECEMBER/2017;383.02084
1/JANUARY/2018;382
2/JANUARY/2018;382.28125
3/JANUARY/2018;384.4896
4/JANUARY/2018;389.5
5/JANUARY/2018;396.1146
6/JANUARY/2018;406.20834
7/JANUARY/2018;416.0208
8/JANUARY/2018;427.88544
9/JANUARY/2018;442.2083
10/JANUARY/2018;448.2727
11/JANUARY/2018;460.9434
12/JANUARY/2018;465.2396
13/JANUARY/2018;471.5
14/JANUARY/2018;482.8021
15/JANUARY/2018;492.5208
16/JANUARY/2018;500.6771
17/JANUARY/2018;505.34375
18/JANUARY/2018;506.9896
19/JANUARY/2018;504.44794
20/JANUARY/2018;497.1979
21/JANUARY/2018;485.01044
22/JANUARY/2018;473.0729
23/JANUARY/2018;463.0104
24/JANUARY/2018;454.15628
25/JANUARY/2018;445.3958
26/JANUARY/2018;439.5625
27/JANUARY/2018;433.9375
28/JANUARY/2018;427.78128
29/JANUARY/2018;427.37503
30/JANUARY/2018;431.875
31/JANUARY/2018;435.2396
1/FEBRUARY/2018;437.45834
2/FEBRUARY/2018;442.17706
3/FEBRUARY/2018;452.54166
4/FEBRUARY/2018;478.3854
5/FEBRUARY/2018;513.82294
6/FEBRUARY/2018;535.44446
7/FEBRUARY/2018;None
8/FEBRUARY/2018;None
9/FEBRUARY/2018;None
10/FEBRUARY/2018;None
11/FEBRUARY/2018;None
12/FEBRUARY/2018;None
13/FEBRUARY/2018;None
14/FEBRUARY/2018;None
15/FEBRUARY/2018;None
16/FEBRUARY/2018;None
17/FEBRUARY/2018;None
18/FEBRUARY/2018;None
19/FEBRUARY/2018;None
20/FEBRUARY/2018;None
21/FEBRUARY/2018;None
22/FEBRUARY/2018;None
23/FEBRUARY/2018;None
24/FEBRUARY/2018;None
25/FEBRUARY/2018;None
26/FEBRUARY/2018;None
27/FEBRUARY/2018;None
28/FEBRUARY/2018;None
29/FEBRUARY/2018;None
30/FEBRUARY/2018;None
31/FEBRUARY/2018;None
1/MARCH/2018;None
2/MARCH/2018;None
3/MARCH/2018;None
4/MARCH/2018;None
5/MARCH/2018;None
6/MARCH/2018;None
7/MARCH/2018;None
8/MARCH/2018;None
9/MARCH/2018;None
10/MARCH/2018;None
11/MARCH/2018;None
12/MARCH/2018;None
13/MARCH/2018;None
14/MARCH/2018;None
15/MARCH/2018;None
16/MARCH/2018;None
17/MARCH/2018;None
18/MARCH/2018;None
19/MARCH/2018;None
20/MARCH/2018;None
21/MARCH/2018;None
22/MARCH/2018;None
23/MARCH/2018;None
24/MARCH/2018;None
25/MARCH/2018;None
26/MARCH/2018;None
27/MARCH/2018;None
28/MARCH/2018;None
29/MARCH/2018;None
30/MARCH/2018;None
31/MARCH/2018;None
1/APRIL/2018;None
2/APRIL/2018;None
3/APRIL/2018;None
4/APRIL/2018;None
5/APRIL/2018;None
6/APRIL/2018;None
7/APRIL/2018;None
8/APRIL/2018;None
9/APRIL/2018;None
10/APRIL/2018;None
11/APRIL/2018;None
12/APRIL/2018;None
13/APRIL/2018;None
14/APRIL/2018;None
15/APRIL/2018;None
16/APRIL/2018;None
17/APRIL/2018;None
18/APRIL/2018;None
19/APRIL/2018;None
20/APRIL/2018;None
21/APRIL/2018;None
22/APRIL/2018;None
23/APRIL/2018;None
24/APRIL/2018;None
25/APRIL/2018;None
26/APRIL/2018;None
27/APRIL/2018;None
28/APRIL/2018;None
29/APRIL/2018;None
30/APRIL/2018;None
31/APRIL/2018;None
1/MAY/2018;None
2/MAY/2018;None
3/MAY/2018;None
4/MAY/2018;None
5/MAY/2018;None
6/MAY/2018;None
7/MAY/2018;None
8/MAY/2018;None
9/MAY/2018;None
10/MAY/2018;None
11/MAY/2018;None
12/MAY/2018;None
13/MAY/2018;None
14/MAY/2018;None
15/MAY/2018;None
16/MAY/2018;None
17/MAY/2018;None
18/MAY/2018;None
19/MAY/2018;None
20/MAY/2018;None
21/MAY/2018;None
22/MAY/2018;None
23/MAY/2018;None
24/MAY/2018;None
25/MAY/2018;None
26/MAY/2018;None
27/MAY/2018;None
28/MAY/2018;None
29/MAY/2018;None
30/MAY/2018;None
31/MAY/2018;None
1/JUNE/2018;None
2/JUNE/2018;None
3/JUNE/2018;None
4/JUNE/2018;None
5/JUNE/2018;None
6/JUNE/2018;None
7/JUNE/2018;None
8/JUNE/2018;None
9/JUNE/2018;None
10/JUNE/2018;None
11/JUNE/2018;None
12/JUNE/2018;None
13/JUNE/2018;None
14/JUNE/2018;None
15/JUNE/2018;313.459
16/JUNE/2018;378.85416
17/JUNE/2018;395.40625
18/JUNE/2018;406.71875
19/JUNE/2018;457.875
20/JUNE/2018;476.85715
21/JUNE/2018;481.0417
22/JUNE/2018;482.32294
23/JUNE/2018;480.32294
24/JUNE/2018;477.51044
25/JUNE/2018;476.89584
26/JUNE/2018;476.02084
27/JUNE/2018;470.0833
28/JUNE/2018;467.5729
29/JUNE/2018;466.8021
30/JUNE/2018;464.96387
31/JUNE/2018;None
1/JULY/2018;None
2/JULY/2018;461.27274
3/JULY/2018;461.2604
4/JULY/2018;460.09375
5/JULY/2018;458.79166
6/JULY/2018;457.64584
7/JULY/2018;453.70834
8/JULY/2018;448.0208
9/JULY/2018;443.8333
10/JULY/2018;442.40625
11/JULY/2018;443.68747
12/JULY/2018;444.84375
13/JULY/2018;445.34372
14/JULY/2018;444.69788
15/JULY/2018;442.93747
16/JULY/2018;444.28122
17/JULY/2018;445.11456
18/JULY/2018;444.3125
19/JULY/2018;442.93747
20/JULY/2018;441
21/JULY/2018;438.125
22/JULY/2018;434.625
23/JULY/2018;433.7396
24/JULY/2018;431.56253
25/JULY/2018;427.57294
26/JULY/2018;421.62497
27/JULY/2018;417.36456
28/JULY/2018;411.9375
29/JULY/2018;405.25
30/JULY/2018;399.58334
31/JULY/2018;393.8125
1/AUGUST/2018;388.3854
2/AUGUST/2018;383.54166
3/AUGUST/2018;378.54166
4/AUGUST/2018;372.0521
5/AUGUST/2018;367.625
6/AUGUST/2018;368.41666
7/AUGUST/2018;366.40625
8/AUGUST/2018;357.5
9/AUGUST/2018;350.71875
10/AUGUST/2018;346.0104
11/AUGUST/2018;341
12/AUGUST/2018;334.4896
13/AUGUST/2018;329.27084
14/AUGUST/2018;308.8125
15/AUGUST/2018;303.7396
16/AUGUST/2018;301.46875
17/AUGUST/2018;296.75
18/AUGUST/2018;289.34375
19/AUGUST/2018;279.03125
20/AUGUST/2018;276.14584
21/AUGUST/2018;270.85416
22/AUGUST/2018;267.79166
23/AUGUST/2018;259.02084
24/AUGUST/2018;237.96875
25/AUGUST/2018;229.9375
26/AUGUST/2018;223.61458
27/AUGUST/2018;224.95833
28/AUGUST/2018;229.44792
29/AUGUST/2018;227.79167
30/AUGUST/2018;218.375
31/AUGUST/2018;218.5521
1/SEPTEMBER/2018;226.97917
2/SEPTEMBER/2018;233.65623
3/SEPTEMBER/2018;236.11458
4/SEPTEMBER/2018;236.35416
5/SEPTEMBER/2018;235.49998
6/SEPTEMBER/2018;235.61456
7/SEPTEMBER/2018;235.5729
8/SEPTEMBER/2018;236.12498
9/SEPTEMBER/2018;235.89581
10/SEPTEMBER/2018;235.55206
11/SEPTEMBER/2018;235.58331
12/SEPTEMBER/2018;235.7604
